text,intent_name
put a hundred dollars in my ally account from bluebird,transfer
i want seventy bucks transferred from b of a to chase,transfer
can i initiate a one-time transfer from my savings account to my money market account,transfer
does ireland have any travel alerts i should be aware of,travel_alert
does north korea have any travel alerts i should be aware of,travel_alert
are there any travel alerts for russia,travel_alert
does spain have any travel alerts i should be aware of,travel_alert
are there any travel alerts for north korea,travel_alert
does macedonia have any travel alerts i should be aware of,travel_alert
are there any travel alerts for syria,travel_alert
are there any travel alerts for ukraine,travel_alert
does myanmar have any travel alerts i should be aware of,travel_alert
are there any travel alerts for china,travel_alert
is there a travel alert for russia,travel_alert
is there a travel alert for scotland,travel_alert
does russia have any travel alerts i should be aware of,travel_alert
is it safe to travel to iceland,travel_alert
is it safe to travel to russia,travel_alert
does italy have any travel alerts i should be aware of,travel_alert
does germany have any travel alerts i should be aware of,travel_alert
is there a travel alert for north korea,travel_alert
does china have any travel alerts i should be aware of,travel_alert
is there a travel alert for canada,travel_alert
is it safe to travel to norway,travel_alert
is it safe to travel to bermuda,travel_alert
is it safe to travel to argentina,travel_alert
does finland have any travel alerts i should be aware of,travel_alert
is there a travel alert for spain,travel_alert
have there been any travel alerts issued for france,travel_alert
tell me about any travel alerts issued for germany,travel_alert
are there any travel warnings for london,travel_alert
should i know about any travel alerts before traveling in the usa,travel_alert
are there any new travel warnings for the us,travel_alert
any travel advisories for portugal,travel_alert
can you tell me if germany issued any travel warnings,travel_alert
does france have any current travel alerts,travel_alert
does spain expect any travel alerts,travel_alert
i am going to australia and want to be notified of any travel alerts,travel_alert
"i am going to be traveling in turkey, are there any alerts",travel_alert
are there any alerts for traveling in belize,travel_alert
what alerts are listed for traveling to paris,travel_alert
i need to know about travel alerts for mexico,travel_alert
what travel alerts are there in china,travel_alert
are there any alerts for travelling to beirut,travel_alert
argentina travel alert yes or no,travel_alert
does argentina have a travel alert,travel_alert
is there a travel alert in argentina,travel_alert
list of countries with travel alerts,travel_alert
can traveling to nepal be safe (what's safe in x),travel_alert
will i be safe while traveling to lyon (will you be safe),travel_alert
how safe is it to travel to mongolia (how safe is mongolia),travel_alert
is it safe to travel to rio de janeiro (is rio de janeiro safe),travel_alert
is traveling to dublin safe (will dublin be safe),travel_alert
is new caledonia safer than other countries,travel_alert
is las vegas a safe place to visit,travel_alert
if i go to baltimore will i be safe,travel_alert
"can you give me the travel alerts for jalisco, mexico",travel_alert
what are the latest travel alerts for dubai,travel_alert
"are there any travel alerts i should know about for buenos aires, argentina",travel_alert
i need any relevant travel alerts for australia,travel_alert
are there travel notifications for columbia,travel_alert
where in the world is there a travel alert,travel_alert
what are today's travel advisories,travel_alert
can you list the places that there are travel alerts for,travel_alert
where are there current travel alerts,travel_alert
is there a travel alert for [country],travel_alert
if i got to indonesia is it safe,travel_alert
i am thinking of going to brazil and was wondering if that is hazardous,travel_alert
would it be safe to go to columbia,travel_alert
is mexico a safe place,travel_alert
what potential hazards are there for going to spain,travel_alert
does a travel alert exist for that country,travel_alert
inform me if there's a travel alert for the country,travel_alert
does the country have a travel alert,travel_alert
i'd like to see if there's a travel alert for the country,travel_alert
can you tell me if there's a travel alert for that country,travel_alert
any travel alerts for south korea,travel_alert
are there travel alerts for europe,travel_alert
what are the currect travel alerts in africa,travel_alert
can i safely travel to brazil,travel_alert
does japan have any travel alerts i should be aware of,travel_alert
is there travel alerts for greece,travel_alert
how safe is it to travel to germany,travel_alert
is it safe to travel to china,travel_alert
is it safe to fly to russia,travel_alert
does france have any travel alerts i should be aware of,travel_alert
look for travel alerts for china,travel_alert
does south korea have any travel alerts i should be aware of,travel_alert
is it dangerous to travel to mexico,travel_alert
any travel alerts for canada,travel_alert
any travel alerts for that country i should know about,travel_alert
are there any travel alerts in that region,travel_alert
i need to know the travel alerts for kenya,travel_alert
any alerts for travelers to canada,travel_alert
should i be worried about any travel alerts for that country,travel_alert
look up travel alerts for canada,travel_alert
is there a travel alert for that country,travel_alert
find if there are any travel alerts for canada,travel_alert
search for any travel alerts for canada,travel_alert
does kenya have any travel alerts right now,travel_alert
check travel alerts for kenya,travel_alert
do i need to read any travel alerts for kenya,travel_alert
search for travel alerts for kenya,travel_alert
"you need to call the melt in lakewood for a table for at 2:00, monday, the first week in march",restaurant_reservation
"hey computer, make a reservation for 2 for my parents at red lobster on wednseday next, 2:00pm if possible",restaurant_reservation
"i think we should reserve dad's regular table friday for 6 people, use his name, make that close to 4:00 pm at the club",restaurant_reservation
"listen i need to get a reservation for , me and teresa at georgetown cafe on tuesday at 7:00 pm",restaurant_reservation
can you make me a reservation for 4 pm on the 22nd at ruth's,restaurant_reservation
i need a reservation at 8 on the 22nd of november at ruth's,restaurant_reservation
can i make a reservation for 6 pm on the 21st at sidetracks,restaurant_reservation
please reserve me a table at hell's kitchen on may 3rd at 8 pm,restaurant_reservation
please reserve me a table for 2 pm at maxwell's on the 14th,restaurant_reservation
can you make a reservation for me at the restaurant,restaurant_reservation
can you make a reservation at the restaurant for tomorrow,restaurant_reservation
can you book a table at the restaurant for me and my husband,restaurant_reservation
can you make a reservation at the restaurant for tonight,restaurant_reservation
can you get me a table for 6 at mark's at 11am,restaurant_reservation
can you get me a table for 1 at the vega at 1pm,restaurant_reservation
can you get a table for 5 at joe's at 5pm,restaurant_reservation
can you get me a table for 3 at captain d's at 2pm,restaurant_reservation
can you get me a table for 2 at mexico viejo at 3pm,restaurant_reservation
can you get me a table for 2 at diablo,restaurant_reservation
can you get me a table for 5 at johnnys,restaurant_reservation
can you get me a table for 8 at johnnys,restaurant_reservation
can you get me a table for 6 at johnnys,restaurant_reservation
can you get me a table for 4 at steve's,restaurant_reservation
reserve a table for 3 at outback steakhouse under the name lance at 7:00pm,restaurant_reservation
reserve a table for 4 at red lobster under the name dave at 7:30pm,restaurant_reservation
reserve a table for 6 at morton's under the name jaime at 8:30pm,restaurant_reservation
can you get me a table for 3 at olive garden at 7pm,restaurant_reservation
book a reservation for 6 at shakey's under the name jason,restaurant_reservation
reserve a table for 5 at lawry's under the name steve at 8:00pm,restaurant_reservation
book a reservation for 5 at lawry's under the name chris,restaurant_reservation
reserve a table for 2 at olive garden under the name jim at 6:00pm,restaurant_reservation
book a reservation for 4 at outback steakhouse under the name dave,restaurant_reservation
can you get me a table for 5 at outback steakhouse at 6:30pm,restaurant_reservation
book a reservation for 3 at red lobster under the name steve,restaurant_reservation
book a reservation for 2 at olive garden under the name jim,restaurant_reservation
can you get me a table for 8 at mastro's at 8:30pm,restaurant_reservation
can you get me a table for 4 at red lobster at 8pm,restaurant_reservation
can you get me a table for 6 at lawry's at 7:30pm,restaurant_reservation
is it possible to get a table for 4 at the village inn around 10am,restaurant_reservation
can you get me a table for 5 at mcdonalds at 5pm,restaurant_reservation
give me a table for 3 at o'reilly's bar for 7 please,restaurant_reservation
can i have a table held at the outback steakhouse for johnson at 5,restaurant_reservation
is it possible to book a room at the taco bell for reavers at 3,restaurant_reservation
i'd like to set up a reservation for kibble at 4,restaurant_reservation
can i reserve a table for 2 at the olive garden at 8,restaurant_reservation
i want to reserve a table at 8 at long john silver's under the name freddie,restaurant_reservation
i want to have a table for 2 at the broadmore around 6,restaurant_reservation
i need an 8 o'clock reservation at pizza hut for the last name mercury,restaurant_reservation
"hey, i need to make a reservation for three at umi, six pm on february 30th",restaurant_reservation
"hello, i'd like a reservation for two at the olive garden at six tonight",restaurant_reservation
can you set me up for a reservation for five at outback steakhouse on february 28th at seven pm,restaurant_reservation
"i need a reservation for one at applebee's, four in the afternoon on march 3rd",restaurant_reservation
"please make a reservation for me: party of two, february 22nd at chili's, two in the afternoon",restaurant_reservation
i gotta make a reservation for 8 pm at red robin for 3,restaurant_reservation
can i make a reservation for 8 pm at red robin for 3,restaurant_reservation
please book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation
i want you to book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation
you have to reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation
please reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation
i need you to reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation
reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation
i want to make a reservation for 8 pm at red robin for 3,restaurant_reservation
you must reserve a table for 4 at red robin under the name kevin at 7,restaurant_reservation
i think i need to make a reservation for 8 pm at red robin for 3,restaurant_reservation
i need you to book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation
go ahead and book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation
i need to make a reservation for 8 pm at red robin for 3,restaurant_reservation
book a reservation for 8 pm at red robin under the name kevin,restaurant_reservation
would you please make a reservation for 2 at olive garden for 5 pm today,restaurant_reservation
i'd like a reservation for 2 at olive garden for 5 pm today,restaurant_reservation
could you make reservations for 2 at olive garden for 5 pm today,restaurant_reservation
make a reservation at 5 pm today for 2 at olive garden,restaurant_reservation
please make a reservation for 2 at olive garden for 5 pm today,restaurant_reservation
i need you to reserve a table for 6:00 pm for three at devon's seafood,restaurant_reservation
make a reservation for three at prime rib at 6:30 pm,restaurant_reservation
i would like a reservation for 6:30 pm at pietro's under the name david jones,restaurant_reservation
please reserve a table for two at rouge for 7:00 pm,restaurant_reservation
can you get me a table for two for 8:00 pm at parc,restaurant_reservation
i would like you to secure a 4:30 pm reservation for five people at morton's steakhouse,restaurant_reservation
"call and make a 5:45 pm reservation for jason rogers, table for four",restaurant_reservation
i need you to reserve at table for a party of four at devon's for 6:00 pm,restaurant_reservation
reserve a table for two for 7:30 pm at dibruno's under patrick donoghue,restaurant_reservation
please make a reservation at ruth's steaks for a party of five at 7:00 pm under jack arnold,restaurant_reservation
"can i make a reservation for 2 at state bird for 7:30, please",restaurant_reservation
"can i make a reservation for 2 at state bird for 8:30, please",restaurant_reservation
"can i make a reservation for 2 at state bird for 6:30, please",restaurant_reservation
"can i make a reservation for 3 at state bird for 8:30, please",restaurant_reservation
can i make a reservation for 2 at state bird for 8:30,restaurant_reservation
please make a reservation for us at joy bar for 4 adults,restaurant_reservation
please make me a reservation for monty's at noon for 55555,restaurant_reservation
"now, i need a reservation for backwoods crossing at seven for 6 people",restaurant_reservation
make me a reservation for tomorrow at happys for four,restaurant_reservation
make me a reservation for 5 at coral for 10 pm immediately,restaurant_reservation
can you reserve a table for 2 at red lobster at 8pm,restaurant_reservation
schedule me a table for 2 at red lobster at 8,restaurant_reservation
check reservation availability for 2 at red lobster at 8pm,restaurant_reservation
make a reservation for 2 at red lobster at 8pm,restaurant_reservation
reserve a table for 2 at red lobster at 8:00,restaurant_reservation
reserve a table for four for tonight at 7 at the fatted calf,restaurant_reservation
make a reservation for tuesday at 7:00 pm at cielo for 2,restaurant_reservation
verify that i have reservations at chilis for john doe,confirm_reservation
can you check my reservations for mortons under david winters,confirm_reservation
can you check for reservations at wongs chinese for john acer,confirm_reservation
check and confirm reservations at ruth chris for carol lee,confirm_reservation
verify that my reservations at won wons for joe lee are good,confirm_reservation
check on my reservation for umami at 6pm,confirm_reservation
"confirm a reservation for nicole brown at diangelo's at 6:45 pm, please",confirm_reservation
i need you to confirm that there is a reservation under the name david kramer for 7:00 pm at pietro's,confirm_reservation
"i would like to confirm my 7:30 pm reservation at morton's steakhouse, under michael james",confirm_reservation
can you please confirm that i have a 6:00 pm table reserved under michelle solomon at devon's,confirm_reservation
"please confirm my reservation at parc for 8:00 pm, with the name denise jack",confirm_reservation
please confirm my reservation for thursday at 10am,confirm_reservation
does it show me as having a reservation for tomorrow at 5,confirm_reservation
can you confirm my reservation for 6 at the outback,confirm_reservation
can you check that i have a reservation on february 28th for 3 in the afternoon,confirm_reservation
i want to make sure my reservation for 5 at mcdonalds is still set,confirm_reservation
i want to verify my reservation for the 18th at 1pm,confirm_reservation
"do i have a reservation for may 1st, 2019 at 4 pm",confirm_reservation
can you verify that i have a reservation at o'reilly's for 9,confirm_reservation
can you assure me i have a table at taco bell at 7pm,confirm_reservation
is my 10am village inn reservation valid,confirm_reservation
please confirm my reservation for morton's at 5 pm,confirm_reservation
do i have reservations at o'neal's at 3 pm,confirm_reservation
is my reservation confirmed for lu shi at 7 pm,confirm_reservation
confirm my reservation at dino's at 6 pm,confirm_reservation
please tell me if my reservation is scheduled for sally's at 3 pm,confirm_reservation
check to see if i have reservations at prado at 6 pm,confirm_reservation
tell me if i have reservations at the back abbey at 6 pm,confirm_reservation
do you know if my reservation for dono is confirmed at 8 pm,confirm_reservation
do i have reservations at creme at 7 pm,confirm_reservation
i need to know if i have reservations at arufflo at 5 pm,confirm_reservation
i really need you to confirm my reservation for kevin at red robin,confirm_reservation
can you confirm my reservation for kevin at red robin,confirm_reservation
i wanna confirm my reservation for 2/20 at 8 pm,confirm_reservation
i'd like to confirm my reservation for 2/20 at 8 pm,confirm_reservation
i would like for you to confirm my reservation for red robin at 5 pm,confirm_reservation
i must confirm my reservation for 2/20 at 8 pm,confirm_reservation
i really want to confirm that i have a reservation at red robin for josh,confirm_reservation
i need you to confirm my reservation for kevin at red robin,confirm_reservation
will you confirm my reservation for red robin at 10,confirm_reservation
i wanna try and confirm that i have a reservation at red robin for josh,confirm_reservation
i need to confirm that i have a reservation at red robin for josh,confirm_reservation
please confirm my reservation for red robin at 9,confirm_reservation
i wish to confirm that i have a reservation at red robin for josh,confirm_reservation
i need to confirm my reservation for 2/20 at 8 pm,confirm_reservation
go ahead and confirm my reservation for kevin at red robin,confirm_reservation
please confirm my reservation for 2/20 at 8 pm,confirm_reservation
confirm my reservation for red robin at 8,confirm_reservation
i need you to confirm my reservation for outback steakhouse at 6,confirm_reservation
please confirm my reservation for kevin at red robin,confirm_reservation
i'd like to confirm that i have a reservation at red robin for josh,confirm_reservation
will you make sure robert has a reservation at ruth's steakhouse,confirm_reservation
do i still have the reservation on march 21 at 8pm,confirm_reservation
can you check that there's a reservation for mark at sidetracks,confirm_reservation
will you check there is a reservation for laura at black pearl,confirm_reservation
i need to make sure there is a reservation for george at connor oneil's,confirm_reservation
can you confirm my reservation for 6 pm on the 13th of february,confirm_reservation
can you confirm i have a reservation at 5 pm on march 13th,confirm_reservation
can you confirm my reservation for 8 pm on the 7th of november,confirm_reservation
please confirm i have a reservation for 2 pm on february 21st,confirm_reservation
can you verify mike has a reservation at black rock at 6 pm,confirm_reservation
i want my reservation for march 1 at 8 pm confirmed,confirm_reservation
will you please confirm my reservation for march 11 at 6:30 pm,confirm_reservation
i would like you to confirm my reservation for next saturday at 11 am,confirm_reservation
i need you to confirm my reservation for tomorrow at 3 pm,confirm_reservation
check to confirm my reservation for february 22 at noon,confirm_reservation
i would like to try and confirm that i have a reservation at houlihan’s for mike,confirm_reservation
i would like to try and confirm that i have a reservation at the seven dwarves for peter,confirm_reservation
i would like to try and confirm that i have a reservation at hu hot for paulie,confirm_reservation
i would like to try and confirm that i have a reservation at macaroni grill for saul,confirm_reservation
i would like to try and confirm that i have a reservation at chili’s for melinda,confirm_reservation
i would like to try and confirm that i have a reservation at macaroni grill for silva,confirm_reservation
i would like to try and confirm that i have a reservation at kelly's for moreno,confirm_reservation
i would like to try and confirm that i have a reservation at la palapa for bolding,confirm_reservation
i would like to try and confirm that i have a reservation at gusteau's for krystine,confirm_reservation
i would like to try and confirm that i have a reservation at chili's for jamie,confirm_reservation
can you confirm my reservation for jim at lawry's,confirm_reservation
can you confirm my reservation for dave at outback steakhouse,confirm_reservation
can you confirm my reservation for lance at morton's,confirm_reservation
can you confirm my reservation for steve at olive garden,confirm_reservation
can you confirm my reservation for jaime at red lobster,confirm_reservation
i'd like for you to make sure my reservation is there for charlie's under jack,confirm_reservation
can you check and see i have a reservation under alex for bon apetite,confirm_reservation
can you verify my reservation under steve for friendly's,confirm_reservation
make sure my reservation is happening for john at olive garden,confirm_reservation
double check my reservation under adam for outback steakhouse,confirm_reservation
please confirm my reservation for april 1st at 9am,confirm_reservation
please confirm my reservation for march 8th at 12:00,confirm_reservation
can you confirm my reservation for donnobys at 5:00,confirm_reservation
can you confirm my reservation for minnis at 4:00,confirm_reservation
please confirm my reservation for may 9th at 4pm,confirm_reservation
please confirm my reservation for march 1st at 2pm,confirm_reservation
can you confirm my reservation for torris at 7:00,confirm_reservation
can you confirm my reservation for applebees at 2:00,confirm_reservation
can you confirm my reservation for chillis at 8:00,confirm_reservation
please confirm my reservation for feburary 21st at 6pm,confirm_reservation
confirm my taco house reservation for jean,confirm_reservation
can you you confirm my reservation for jean at taco house,confirm_reservation
does taco house have a reservation for jean,confirm_reservation
i would like to check my reservation for jean at taco house,confirm_reservation
before i make my mastercard payment can you tell me what i've recently charged on it,transactions
please tell me all of my recent transactions,transactions
i want to pay my amazon credit card but i need to know the last few transactions,transactions
before i pay my walmart credit card did i make any purchases using it recently,transactions
i need to know all the recent transactions i've made,transactions
please tell me all the transactions i've made recently,transactions
what are the last ten transactions i've made,transactions
"before i pay my capital one, what are the most recent transactions i've made",transactions
tell me the most recent charges on my chase credit card before i pay the bill,transactions
read off to me the last five transactions i've made,transactions
what transactions have i made on liquor in the past month,transactions
i'd like to see last week's atm transactions,transactions
show me the transactions from costco yesterday,transactions
i need to know something about my latest transaction,transactions
can you check on a transaction for me,transactions
i need some information on a recent transaction,transactions
i need a recent transaction looked into,transactions
can you let me know my latest transactions,transactions
what was the last thing i purchased,transactions
what did i buy last,transactions
how much did my last purchase cost,transactions
how expensive was my most recent transaction,transactions
when was my most recent transaction,transactions
show me the transactions made on my business card for supplies last quarter,transactions
may i get all of the food transactions that were made last month,transactions
can you show me the transactions that were made last night at the restaurant,transactions
what transactions did i make yesterday at the flea market,transactions
please show me what transactions i made on the first of this month,transactions
please tell me my in-person transactions for the last three days using my debit card,transactions
please give me my last ten debit card transactions in the month of december,transactions
what were my last five transactions on my visa card,transactions
i would like to hear all transactions made on my amex for the last ten days,transactions
can you list all of my online transactions for the month of january,transactions
show me my transactions on groceries,transactions
show me my transactions on tacobell,transactions
show me my transactions on make up at sephora,transactions
show me my transactions on mcdonalds,transactions
show me my transactions on clothes at macys,transactions
let me see the list of tranaction on my discovery credit card,transactions
let me know the list of transaction on my first hawaiian bank,transactions
i want to see the list of transaction on my bank of hawaii,transactions
list me my recent transaction,transactions
what are my recent transaction,transactions
please show me my recent transaction,transactions
i want to see my recent transaction,transactions
let me check my transaction for first bank card,transactions
let me check my transaction on my citi card,transactions
show me my recent transactoin,transactions
on my card what have been my recent purchases,transactions
pull up my recent transactions on my mastercard,transactions
on the card can you give me the last transactions,transactions
whats my recent transactions on my card,transactions
on my card what all are my latest transactions,transactions
show my transaction statement,transactions
retrieve my recent transactions,transactions
view my transactions for the last week,transactions
my transaction history,transactions
may transactions for last 2 days,transactions
what was my last transaction,transactions
show me recent transactions,transactions
what transactions happened in the last week,transactions
show me the last month of transactions,transactions
show me the last five transactions,transactions
what's the last transaction i made yesterday,transactions
show me yesterday's last transaction,transactions
open yesterday's last payment,transactions
show me last transaction,transactions
show me transactions related to travel,transactions
help me get access to my recent transaction history,transactions
i need to see my shopping transactions,transactions
get me access to a list of my recent transactions,transactions
i would like to take a look at my transaction history,transactions
can you pull up my most recent transactions,transactions
i want to see my entertainment transactions,transactions
where can i find my recent transaction history,transactions
can you show me transactions related to utilities,transactions
pull up my grocery transactions,transactions
what were my purchases on visa card last month,transactions
i spent what dollar amount last month on mastercard,transactions
what was the amount that i spent on fidelity visa last month,transactions
what did i spend at target on my barclays card last month,transactions
what amount did i spend for food on chase visa on current bill,transactions
i need to know last months transactions,transactions
i need to know the transactions i made on the 10th,transactions
i would like to see the transactions i made last week,transactions
can i see my transactions on the 7th,transactions
can i get my transactions for the date of the 23rd,transactions
show me the transaction on burger king,transactions
show me the transaction on macys,transactions
show me the transaction on mcdonald,transactions
show me the transaction on the food,transactions
show me the transaction on my car,transactions
bring up all purchases from target,transactions
show me my transactions within the past week,transactions
can i see my transactions from yesterday,transactions
show me all gas purchases within the last month,transactions
can you list all recent transactions,transactions
bring up my most recent purchases,transactions
i need to see all visa purchases for march,transactions
"looking at january, show all wine purchases",transactions
"i want to pay my bill, please",pay_bill
pay my water bill with my charles schwab account,pay_bill
i'd like to pay my bill,pay_bill
pay my internet bill with my discover account,pay_bill
can you help me pay a bill,pay_bill
i need to pay my bill,pay_bill
can i pay a bill,pay_bill
use my capital one account to pay for my gas bill,pay_bill
pay my electric bill from my amex account,pay_bill
i want to pay my house bill,pay_bill
i want to pay my car bill,pay_bill
i want to pay my insurance bill,pay_bill
i want to pay my tax bill,pay_bill
i need help paying my auto insurance bill,pay_bill
i need help paying my hoa bill,pay_bill
i need help paying my tuition bill,pay_bill
i need help paying my phone bill,pay_bill
"my water bill is due, pay it immediately",pay_bill
i need to pay my water bill,pay_bill
please go ahead and make my student loan payment,pay_bill
go ahead and pay my american express bill now,pay_bill
i need to pay my electric bill now,pay_bill
can you assist me in paying my electric bill,pay_bill
i want to do a payment on my water bill,pay_bill
pay my mortgage from my checkings accounts,pay_bill
do a car payment from my savings account,pay_bill
can you give me a hand paying my water bill,pay_bill
i want to pay off my student loan,pay_bill
i need a bit of hand holding getting my trash bill paid,pay_bill
i need to pay my mortgage,pay_bill
are you able to help me pay my mortgage,pay_bill
i want to pay my car payment,pay_bill
i need to pay this month's tv subscription fee,pay_bill
will you aid me in paying my insurance premium,pay_bill
pay a bribe using my money market account,pay_bill
use my savings account to the pay the rent,pay_bill
use my checkings account to pay the electric bill,pay_bill
i'd like to pay my coned bill,pay_bill
please help with paying my cell phone bill,pay_bill
i'd like to make a payment on my credit card bill,pay_bill
i would like to pay my cell phone bill,pay_bill
please help me pay my cable bill,pay_bill
please tell me how to pay my gas bill,pay_bill
i need to get help paying my gas bill,pay_bill
i need help to pay my electric bill,pay_bill
can you help me pay my phone bill,pay_bill
will you take my bill payment,pay_bill
is it possible to pay my bill,pay_bill
how can i pay my bill,pay_bill
can i pay my bill,pay_bill
use my park bank account to pay my electric bill,pay_bill
pay my electric bill from my park bank account,pay_bill
pay my gas bill from my saving account,pay_bill
pay my cable bill from my facebook account,pay_bill
pay my cell bill from my deposit account,pay_bill
pay my electric bill from my paypal account,pay_bill
pay my water bill from my checking account,pay_bill
pay my phoe bill with my debit card,pay_bill
schedule a gas bill payment,pay_bill
pay the cable bill with my visa card,pay_bill
pay the red cross the monthly donation,pay_bill
i want to pay my internet bill,pay_bill
i want to pay my gas bill,pay_bill
i want to pay my electric bill,pay_bill
i want to pay my rent bill,pay_bill
i want to pay my water bill,pay_bill
make a payment on the electric bill,pay_bill
help me pay my electric bill,pay_bill
pay the electric bill,pay_bill
pay electric,pay_bill
please pay electric bill,pay_bill
i got to pay my cable bill,pay_bill
i need help paying my store bill,pay_bill
i wanna pay my cable bill from my checking account,pay_bill
i need help paying my cable bill,pay_bill
pay my cable bill from my checking account,pay_bill
i must pay my cable bill from my checking account,pay_bill
i gotta pay my cable bill,pay_bill
i must pay my cable bill,pay_bill
i wish to pay my cable bill,pay_bill
i need to pay my cable bill,pay_bill
i need help paying my rent bill,pay_bill
i need help paying my water bill,pay_bill
i really want to pay my cable bill from my checking account,pay_bill
i need help paying my electric bill,pay_bill
i need to pay my cable bill from my checking account,pay_bill
what's the best way to pay my bill,pay_bill
i'd really like to pay this bill,pay_bill
can you help me pay this bill,pay_bill
i am not sure how to pay my phone bill and need assistance,pay_bill
i need to make a bill payment,pay_bill
please pay my bill,pay_bill
can anyone help me pay my car bill,pay_bill
i want to pay that bill now,pay_bill
is there anyone available to help pay an internet bill,pay_bill
i need anyone who can help me pay my electric bill,pay_bill
help me pay my cable bill,pay_bill
can you pay the bill now,pay_bill
i need your help to pay my gas bill,pay_bill
pay my insurance bill,pay_bill
how much did i spend at restaurants last week,spending_history
how much have i spent lately on eating out,spending_history
what did i spend at the grocery store yesterday,spending_history
how much money did i spend at starbucks in the last week,spending_history
what was the total i spent at home depot last month,spending_history
where did all my money go this month,spending_history
what have my expenditures been at macys,spending_history
how much did i spend this week,spending_history
how much did i spend on christmas gifts in december,spending_history
how much money did i spend yesterday,spending_history
what did i spend at bath and body works last month,spending_history
how much did i spend on lunches last week,spending_history
what amount did i spend last week,spending_history
what did i spend my money on last week,spending_history
how much did i spend on movies last week,spending_history
have i been spending a lot on groceries lately,spending_history
